Agent,Mean Reward,Reward Std,Action Std
DDPG,17.973384440713023,39.5243928876973,0.66990113
PQC,-10.044438361788098,49.02026772984297,0.042872876
VQC,36.35812703195841,15.662457684541021,0.17805026
