agent,arrival_rate,seed,episode,exploit_reward,explore_reward
vqc,10,7,1,6.161467198091543,5.909887552058024
vqc,10,7,2,6.287252115159816,1.4404490175362525
vqc,10,7,3,2.463229621964558,3.000486808128315
vqc,10,7,4,2.4000014918769637,3.32891608410344
vqc,10,7,5,4.04473270803777,3.9885267526711345
vqc,10,7,6,9.40375848036689,0.9123680260792639
vqc,10,7,7,6.458619693417404,3.8360783868402564
vqc,10,7,8,4.260664500628792,-2.7832327871566918
vqc,10,7,9,15.155926838291407,4.102511822291916
vqc,10,7,10,3.327695819588257,5.109902688286496
vqc,10,13,1,3.293367015220042,5.845788865825099
vqc,10,13,2,3.230834191499099,6.958412944630481
vqc,10,13,3,5.4958832806277655,4.74179639592262
vqc,10,13,4,11.404945174269017,-0.4456043335556785
vqc,10,13,5,1.9486955395534835,18.08937851391586
vqc,10,13,6,6.209590323656101,12.053140757213896
vqc,10,13,7,7.356022620570471,10.955680511545495
vqc,10,13,8,4.4114669856398905,5.615983028044184
vqc,10,13,9,3.1597540732267504,5.920648319352011
vqc,10,13,10,5.840929452706064,1.8419357239791907
vqc,10,21,1,0.5647536934417872,1.1019345859570535
vqc,10,21,2,6.645452315177408,5.424473170676947
vqc,10,21,3,3.043956844996387,-6.841387487372458
vqc,10,21,4,6.1558209690389845,-0.61213580256657
vqc,10,21,5,2.0976076142563045,3.9336109288630325
vqc,10,21,6,6.118119745921774,6.117023854653212
vqc,10,21,7,-0.7372064094141706,-0.30771400375553526
vqc,10,21,8,6.685347329278272,5.728577873280869
vqc,10,21,9,8.26327113803842,1.8283192518884164
vqc,10,21,10,4.822736510314172,-0.38916875826471653
vqc,10,42,1,-2.233100253184034,3.6105087677395886
vqc,10,42,2,7.582738128801083,4.761794012885787
vqc,10,42,3,0.5996355134358282,5.552854505208245
vqc,10,42,4,10.355449865964317,1.9507722923729318
vqc,10,42,5,2.573038423064901,6.600404965749135
vqc,10,42,6,6.087273854238134,2.5540407112043084
vqc,10,42,7,13.186401246680589,2.4731913215696295
vqc,10,42,8,5.464359369527131,2.776228279657289
vqc,10,42,9,-0.6166438593311341,2.6078539244386434
vqc,10,42,10,4.074628112938569,9.86365676225546
vqc,10,69,1,5.149236392774583,2.2998418923504573
vqc,10,69,2,4.937521914023762,5.578188992437987
vqc,10,69,3,7.173280017629281,4.888504949137371
vqc,10,69,4,6.965844562712476,-4.663695667815318
vqc,10,69,5,7.730638299215741,5.549333858656112
vqc,10,69,6,9.76168651607594,5.4245238580075466
vqc,10,69,7,11.159995835641155,4.713763680342311
vqc,10,69,8,8.157863679262718,6.997987695259667
vqc,10,69,9,1.4672615972510101,4.432646933164534
vqc,10,69,10,6.536875062866272,3.630513362274698
vqc,50,7,1,29.903015120022246,33.82119160707214
