agent,arrival_rate,seed,episode,exploit_reward,explore_reward
pqc,10,7,1,9.861747449525978,0.039746116344076654
pqc,10,7,2,-2.298390668521506,-2.2063235976258966
pqc,10,13,1,-2.7744216643507116,20.317471900860824
pqc,10,13,2,-12.134110875925444,7.103343597184491
pqc,10,21,1,2.5753886406732818,5.352720064659934
pqc,10,21,2,-7.845962140727465,-1.2662322114261997
pqc,10,42,1,-7.3427330113265725,6.002203417784131
pqc,10,42,2,-8.888909556480826,9.457644484220395
pqc,10,69,1,12.351749790350937,-0.10900926103909114
pqc,10,69,2,5.707924247474125,11.18065948239564
pqc,50,7,1,37.3004948914886,3.567080688259921
pqc,50,7,2,-1.2397925715608835,-10.665013071345129
pqc,50,13,1,-3.6603116947912895,83.30536337885042
pqc,50,13,2,-69.2611145824817,-34.19482847287372
pqc,50,21,1,8.764520772538162,51.43462511856342
pqc,50,21,2,-44.74400599073488,-39.24467077334202
pqc,50,42,1,-35.67612831597762,52.281493207477524
pqc,50,42,2,-36.06265201392307,43.52051476457973
pqc,50,69,1,49.14213050728176,-29.98374095514373
pqc,50,69,2,32.39020924710621,56.09599229255582
pqc,100,7,1,80.83568422177632,9.460935433811756
pqc,100,7,2,-10.509717574386741,-15.818464308230432
pqc,100,13,1,-3.651619220837347,154.58011096950395
pqc,100,13,2,-163.07963828729225,-56.003459476944045
pqc,100,21,1,17.31374028614664,121.13508176351479
pqc,100,21,2,-80.3377983096807,-71.44260978113016
pqc,100,42,1,-60.26130630290572,90.64895470802549
pqc,100,42,2,-63.606151833934746,89.30109826922944
pqc,100,69,1,123.48451342575936,-53.80378070932693
pqc,100,69,2,66.21737799691164,113.99413915891091
pqc,200,7,1,165.14224791647212,16.98357337827474
pqc,200,7,2,-18.74231931095528,-32.163034845345464
pqc,200,13,1,-18.359519961300975,339.5613508950246
pqc,200,13,2,-311.45091069961563,-163.4372029578517
pqc,200,21,1,47.967222386934736,241.6756256919325
pqc,200,21,2,-170.10686967970287,-157.45918085149788
pqc,200,42,1,-104.21350604431063,172.15028332705697
pqc,200,42,2,-115.53740938655756,202.28065276434427
pqc,200,69,1,235.4984054128745,-107.67412149186202
pqc,200,69,2,153.41085207278047,197.17728655567043
pqc,500,7,1,165.14224791647212,16.98357337827474
pqc,500,7,2,-18.74231931095528,-32.163034845345464
pqc,500,13,1,-18.359519961300975,339.5613508950246
pqc,500,13,2,-311.45091069961563,-163.4372029578517
pqc,500,21,1,47.967222386934736,241.6756256919325
pqc,500,21,2,-170.10686967970287,-157.45918085149788
pqc,500,42,1,-104.21350604431063,172.15028332705697
pqc,500,42,2,-115.53740938655756,202.28065276434427
pqc,500,69,1,235.4984054128745,-107.67412149186202
pqc,500,69,2,153.41085207278047,197.17728655567043
