agent,arrival_rate,seed,episode,exploit_reward,explore_reward
ddpg,10,7,1,7.189587128259859,-1.866913535436879
ddpg,10,7,2,-0.0016291974808382292,0.5679172438614728
ddpg,10,13,1,-2.2383673999935354,18.896195540678946
ddpg,10,13,2,-10.01564186439731,3.224715599181721
ddpg,10,21,1,4.0714345187086565,3.0364108340409643
ddpg,10,21,2,-5.870818670277572,1.762916447458636
ddpg,10,42,1,-3.5818679087522014,14.183531569009347
ddpg,10,42,2,-3.682742990536667,9.008839081294354
ddpg,10,69,1,9.00436661980234,-3.2492196255208796
ddpg,10,69,2,2.3439151014355275,6.898130400973514
ddpg,50,7,1,29.59375534603123,-2.4859077364135374
ddpg,50,7,2,-8.01719226619116,-1.625840642003368
ddpg,50,13,1,1.7379441165198841,106.91783439611572
ddpg,50,13,2,-42.74463739540488,-14.237390370613866
ddpg,50,21,1,16.501604943148777,26.736378860145578
ddpg,50,21,2,-43.24615979014743,-29.27632262965426
ddpg,50,42,1,-22.442993053430655,64.09924485230522
ddpg,50,42,2,-23.763558338664097,39.8218247728214
ddpg,50,69,1,45.02038612690103,-35.70004319077998
ddpg,50,69,2,17.51119710751891,30.05122042443645
ddpg,100,7,1,76.10189056116997,3.7407245325448457
ddpg,100,7,2,-5.503024431328413,-5.112453949753217
ddpg,100,13,1,9.946966496871028,175.33131118544406
ddpg,100,13,2,-132.50846890331104,-29.737810161027028
ddpg,100,21,1,21.77340460850428,87.25872222719954
ddpg,100,21,2,-65.30696465197252,-49.82299178295352
ddpg,100,42,1,-36.43757627776813,121.74756435498057
ddpg,100,42,2,-28.48599962328626,91.05772482116754
ddpg,100,69,1,102.4424998223758,-46.580993486761145
ddpg,100,69,2,38.23441999183933,73.43126841413141
ddpg,200,7,1,159.8638486858581,33.681625950775924
ddpg,200,7,2,30.08395322036631,-4.817922837979495
ddpg,200,13,1,5.232882643485937,331.61518010885266
ddpg,200,13,2,-225.23198391697042,-93.2900239596529
ddpg,200,21,1,75.8515703757912,166.28310393907486
ddpg,200,21,2,-131.95669834988257,-96.19558449176657
ddpg,200,42,1,-71.56895990058183,185.4480683395941
ddpg,200,42,2,-41.559542380504354,192.33155408312996
ddpg,200,69,1,182.80849050821962,-93.44476932103862
ddpg,200,69,2,101.48444099745575,133.75949398770717
ddpg,500,7,1,159.8638486858581,31.73266912730287
ddpg,500,7,2,30.08395322036631,8.911274173444326
ddpg,500,13,1,5.232882643485937,326.53142689377273
ddpg,500,13,2,-225.23198391697042,-93.26741894981387
ddpg,500,21,1,75.8515703757912,163.86245790380053
ddpg,500,21,2,-131.95669834988257,-95.86456640398137
ddpg,500,42,1,-71.56895990058183,191.96198815511343
ddpg,500,42,2,-41.559542380504354,196.99982485403962
ddpg,500,69,1,182.80849050821962,-92.21093726466643
ddpg,500,69,2,101.48444099745575,145.66292955867902
