Episode,Total Reward,Steps,Inventory Size,Epsilon,Time (s),Actor Loss,Critic Loss
128,-43.673162488022804,200,-38.0,N/A,11.989631414413452,N/A,N/A
129,-31.011967220796887,200,-47.0,N/A,11.860483169555664,N/A,N/A
130,22.52469474729192,200,-54.0,N/A,11.440321922302246,N/A,N/A
131,-26.953797356320663,200,-56.0,N/A,11.753992319107056,N/A,N/A
132,-79.89925868785825,200,-41.0,N/A,12.138803005218506,N/A,N/A
133,-45.025343392426066,200,-56.0,N/A,11.93818974494934,N/A,N/A
134,-103.93689571930716,200,-39.0,N/A,12.120800971984863,N/A,N/A
135,-40.68611324723003,200,-45.0,N/A,12.423083066940308,N/A,N/A
136,-63.76685911841961,200,-39.0,N/A,12.152037858963013,N/A,N/A
137,13.45835367654594,200,-44.0,N/A,12.014597177505493,N/A,N/A
138,13.136418322803376,200,-49.0,N/A,11.82986330986023,N/A,N/A
139,21.09483461619323,200,-45.0,N/A,11.780001163482666,N/A,N/A
140,-22.232351044090922,200,-44.0,N/A,11.772485971450806,N/A,N/A
141,-79.32862991813278,200,-60.0,N/A,12.07861614227295,N/A,N/A
142,33.38613876964391,200,-44.0,N/A,11.736975908279419,N/A,N/A
143,-1.255202997924994,200,-30.0,N/A,11.647716760635376,N/A,N/A
144,-33.22493909169856,200,-45.0,N/A,11.942268133163452,N/A,N/A
145,21.01821504322568,200,-37.0,N/A,11.846858024597168,N/A,N/A
146,-106.03151976769351,200,-39.0,N/A,12.130115985870361,N/A,N/A
147,-4.819624066511773,200,-42.0,N/A,12.193751811981201,N/A,N/A
148,-12.47975245527844,200,-36.0,N/A,12.086906909942627,N/A,N/A
149,21.768014307261044,200,-32.0,N/A,12.098169803619385,N/A,N/A
150,-161.1360032960864,200,-53.0,N/A,12.015905857086182,N/A,N/A
151,80.52011168038851,200,-41.0,N/A,11.860105037689209,N/A,N/A
152,-19.661034835877047,200,-54.0,N/A,16.54446792602539,N/A,N/A
153,-27.875364404026488,200,-30.0,N/A,11.755632162094116,N/A,N/A
154,4.356223080782362,200,-43.0,N/A,11.62778115272522,N/A,N/A
155,-60.87823246906298,200,-46.0,N/A,11.695857048034668,N/A,N/A
156,-39.199430547487395,200,-49.0,N/A,11.5692720413208,N/A,N/A
157,45.224479876068344,200,-48.0,N/A,12.77125597000122,N/A,N/A
158,-30.562369318076104,200,-48.0,N/A,12.076553106307983,N/A,N/A
159,32.37120964302976,200,-57.0,N/A,11.680200099945068,N/A,N/A
160,-48.175919953229595,200,-41.0,N/A,11.697824954986572,N/A,N/A
161,-88.7852350064928,200,-43.0,N/A,11.58371877670288,N/A,N/A
162,23.21923225641339,200,-53.0,N/A,11.515760898590088,N/A,N/A
163,-114.0352993286474,200,-49.0,N/A,11.424443006515503,N/A,N/A
164,-32.72226104644483,200,-47.0,N/A,11.31160306930542,N/A,N/A
165,20.4620620765646,200,-57.0,N/A,11.288320064544678,N/A,N/A
166,-25.805330310438297,200,-29.0,N/A,11.951277017593384,N/A,N/A
167,-15.660370617259556,200,-17.0,N/A,11.43048882484436,N/A,N/A
168,-13.474013137509449,200,-23.0,N/A,11.425669193267822,N/A,N/A
169,-38.195745896370084,200,-27.0,N/A,11.821836948394775,N/A,N/A
170,5.61948781298736,200,-19.0,N/A,11.769145965576172,N/A,N/A
171,24.037199961589742,200,-24.0,N/A,11.775139093399048,N/A,N/A
172,11.707915534117888,200,-41.0,N/A,11.679541110992432,N/A,N/A
173,18.94428689491675,200,-48.0,N/A,11.659443140029907,N/A,N/A
174,72.72074974965258,200,-46.0,N/A,11.439096212387085,N/A,N/A
175,-80.74458751647904,200,-42.0,N/A,11.381271123886108,N/A,N/A
176,21.71900585088395,200,-45.0,N/A,11.48508095741272,N/A,N/A
177,-16.225917666721767,200,-46.0,N/A,11.239176034927368,N/A,N/A
178,-30.246378988359076,200,-60.0,N/A,11.812372922897339,N/A,N/A
179,-24.957685124074317,200,-56.0,N/A,11.299863815307617,N/A,N/A
180,-79.1041581709756,200,-30.0,N/A,11.3075590133667,N/A,N/A
181,-85.71631183944876,200,-13.0,N/A,11.592836141586304,N/A,N/A
182,-51.24753942656692,200,-17.0,N/A,11.49381399154663,N/A,N/A
183,23.067554319740637,200,-47.0,N/A,11.838612079620361,N/A,N/A
184,5.699487733671947,200,-20.0,N/A,12.257403135299683,N/A,N/A
185,10.319244505849847,200,-15.0,N/A,11.795995235443115,N/A,N/A
186,-15.891767857052262,200,-23.0,N/A,11.716425895690918,N/A,N/A
187,-18.965787092678525,200,9.999999999998181,N/A,11.396132707595825,N/A,N/A
188,-93.61920560802939,200,-10.0,N/A,11.292837858200073,N/A,N/A
189,-8.250538608797536,200,-19.0,N/A,11.270977973937988,N/A,N/A
190,-77.02229284256985,200,-61.0,N/A,11.255188941955566,N/A,N/A
191,18.350618818999315,200,-38.0,N/A,11.566496849060059,N/A,N/A
