Episode,Total Reward,Steps,Inventory Size,Epsilon,Time (s),Actor Loss,Critic Loss
76,12.18916075799607,200,0.0,N/A,23.87110710144043,0.100043334,0.087262936
77,21.21393163760103,200,-3.0,N/A,24.642611026763916,0.09160319,0.08962491
78,8.64964171655628,200,-3.0,N/A,25.509396076202393,0.08681351,0.084327325
79,20.765573693248395,200,-1.0,N/A,24.77835702896118,0.08768543,0.08605847
80,23.827240308416094,200,-6.0,N/A,25.462233066558838,0.06056986,0.09253675
81,22.24661479574791,200,-7.0,N/A,24.64327883720398,0.099534236,0.088892944
82,7.390995613793309,200,-4.0,N/A,25.461311101913452,0.11044886,0.098865815
83,12.258920607708248,200,0.0,N/A,25.619565725326538,0.090057075,0.07989719
84,16.796928896554743,200,-4.0,N/A,24.159801244735718,0.09585095,0.07858688
85,5.352995195512104,200,-3.0,N/A,24.078168153762817,0.11108618,0.08907631
86,20.269187898592808,200,-2.0,N/A,24.755269289016724,0.115390144,0.10438907
87,27.68019225357353,200,-1.0,N/A,24.889055967330933,0.07751647,0.10797174
88,12.214004335772849,200,-2.0,N/A,26.32995104789734,0.0912514,0.08544366
89,16.294978858439983,200,0.0,N/A,25.989066123962402,0.079735875,0.09241775
90,27.364614624048574,200,0.0,N/A,25.22647762298584,0.081732675,0.09990004
91,15.594670926241943,200,5.0,N/A,25.16071915626526,0.11873687,0.08374822
92,8.835296102469302,200,-7.0,N/A,25.30451202392578,0.091176584,0.07823029
93,11.943362765454179,200,-9.0,N/A,24.135669946670532,0.10653146,0.09401266
94,12.530450381520234,200,-1.0,N/A,24.94282102584839,0.07972571,0.08852203
95,24.938591098304627,200,-1.0,N/A,24.770079851150513,0.10535772,0.08750848
96,20.09503970906036,200,-3.0,N/A,25.117690086364746,0.08614534,0.09557263
97,23.258578955518008,200,0.0,N/A,25.3318510055542,0.07257236,0.12279222
98,32.61755288471315,200,-2.0,N/A,24.974011182785034,0.09870468,0.099837154
99,8.790997250610985,200,-5.0,N/A,25.178958892822266,0.108063824,0.08994903
100,37.185335023632156,200,-2.0,N/A,24.957010746002197,0.07967583,0.09874095
101,24.61514304362517,200,-3.0,N/A,25.135411024093628,0.077650376,0.090152055
102,22.345116656935065,200,3.0,N/A,24.319413900375366,0.1266011,0.077755615
103,14.980656562745752,200,-2.0,N/A,25.357741117477417,0.11763257,0.11119091
104,7.717881463618511,200,-6.0,N/A,25.070395946502686,0.0959889,0.10112707
105,28.47943556798149,200,-7.0,N/A,24.62457299232483,0.09409268,0.10847522
106,10.398386067865644,200,-3.0,N/A,23.935353994369507,0.12544604,0.08915373
107,19.279176148073617,200,2.0,N/A,23.831198930740356,0.106726095,0.08796184
108,31.2079052352001,200,-1.0,N/A,23.89677596092224,0.12067046,0.10882828
109,23.616372863786694,200,-9.0,N/A,24.722465991973877,0.125458,0.105588704
110,25.593748770418497,200,-3.0,N/A,23.86550498008728,0.1404565,0.08117029
111,10.28275729338891,200,0.0,N/A,24.336557626724243,0.094760224,0.1234974
112,11.038730848217517,200,-1.0,N/A,350.1186809539795,0.13720153,0.09121616
113,14.367835326168525,200,-4.0,N/A,24.957070112228394,0.08915436,0.09610322
114,17.245733317608494,200,1.0,N/A,24.324620962142944,0.14295566,0.0839079
115,24.63440211667876,200,-6.0,N/A,24.348756313323975,0.13625878,0.15498191
116,22.0704797317165,200,-3.0,N/A,24.626216173171997,0.10496023,0.098551914
117,14.402864118273,200,0.0,N/A,24.72144889831543,0.12569858,0.08214513
118,15.323646962562927,200,2.0,N/A,24.232025861740112,0.11573779,0.101359636
119,-6.689143202148527,200,-10.0,N/A,25.297316074371338,0.09912897,0.11012611
120,25.97304264040656,200,-2.0,N/A,25.071302890777588,0.10742012,0.1222626
121,10.195354193159794,200,-6.0,N/A,24.995787143707275,0.11836643,0.11949599
122,22.556318945826455,200,-1.0,N/A,25.272783994674683,0.14950539,0.11141035
123,21.274362481311673,200,0.0,N/A,25.223039865493774,0.08458083,0.09841852
124,26.587107943358568,200,0.0,N/A,25.914364099502563,0.11766876,0.10305102
125,3.2784357526339636,200,6.0,N/A,25.494152069091797,0.10185274,0.1090292
126,33.254548895491894,200,-7.0,N/A,24.952454805374146,0.12249082,0.10492319
127,3.52227840331071,200,-8.0,N/A,24.173552989959717,0.12720348,0.10213857
128,22.51167472456879,200,-6.0,N/A,24.117470026016235,0.12494708,0.08729434
129,27.717161491387248,200,0.0,N/A,1004.752525806427,0.15390186,0.110537305
130,28.731365374437033,200,-8.0,N/A,24.73877763748169,0.15507507,0.08580913
131,25.003860103970496,200,-9.0,N/A,24.53364872932434,0.13244505,0.13115677
132,37.531355832800216,200,-7.0,N/A,24.52547788619995,0.1582471,0.107590646
133,32.859693463745295,200,2.0,N/A,23.974458932876587,0.124039,0.10583697
134,10.719971738131031,200,0.0,N/A,23.972569942474365,0.11337611,0.10709692
135,30.98829256440944,200,-3.0,N/A,24.051962852478027,0.11912703,0.10943174
136,38.35227380954089,200,0.0,N/A,1069.2688629627228,0.103666745,0.100994095
137,41.1530293369123,200,-4.0,N/A,25.208734035491943,0.13453883,0.10908283
138,30.162604000679067,200,5.0,N/A,23.911919116973877,0.13476321,0.115817904
139,25.81955580807067,200,-13.0,N/A,23.934282064437866,0.12400809,0.10318613
140,29.109490167227893,200,1.0,N/A,23.94534993171692,0.13610883,0.11112063
141,13.10049021395707,200,-4.0,N/A,23.757878065109253,0.11781051,0.13249674
142,26.098114467506143,200,-1.0,N/A,1032.9960408210754,0.10725314,0.13206351
143,30.310624172256546,200,1.0,N/A,24.379285097122192,0.13604568,0.12430498
144,24.527172888137233,200,3.0,N/A,975.4167590141296,0.11139753,0.11402487
145,28.21707093522788,200,-4.0,N/A,23.912941932678223,0.10135349,0.11267795
146,34.235394899477264,200,1.0,N/A,23.605594873428345,0.079456806,0.14487827
147,26.53902337727759,200,6.0,N/A,23.7009060382843,0.12469673,0.14874917
148,21.07941746183101,200,2.0,N/A,23.93156909942627,0.12531762,0.13396698
149,44.08601459573841,200,-7.0,N/A,1086.49986410141,0.13083203,0.11973442
150,16.15475090641474,200,-3.0,N/A,23.94907307624817,0.104562804,0.12721659
151,34.27156251451939,200,-7.0,N/A,571.789558172226,0.1446449,0.112627484
152,6.3061382051638635,200,3.0,N/A,24.230138063430786,0.10848529,0.12596962
153,15.369867838654677,200,-6.0,N/A,225.27437782287598,0.14754875,0.11189244
154,27.413160738046443,200,-2.0,N/A,25.657613039016724,0.17205845,0.15206425
